Year,EmployerName,Position,RegularPay,TotalWages,RealTotalWages,RealRegularPay
2023,"University of California, Berkeley",Act Assoc Prof-Ay,47917,47917,47917.0,47917.0
2023,"University of California, Berkeley",Act Assoc Prof-Ay-B/E/E,60375,97491,97491.0,60375.0
2023,"University of California, Berkeley",Act Asst Prof-Ay,41433,116433,116433.0,41433.0
2023,"University of California, Berkeley",Act Asst Prof-Ay,95482,155482,155482.0,95482.0
2023,"University of California, Berkeley",Act Prof-Ay,186662,239687,239687.0,186662.0
2023,"University of California, Berkeley",Act Prof-Ay-Law,93588,267255,267255.0,93588.0
2023,"University of California, Berkeley",Act Prof-Ay-Law,262000,319778,319778.0,262000.0
2023,"University of California, Berkeley",Act Prof-Ay-Law,93750,285855,285855.0,93750.0
2023,"University of California, Berkeley",Act Prof-Ay-Law,205250,227283,227283.0,205250.0
2023,"University of California, Berkeley",Act Prof-Ay-Law,272067,332067,332067.0,272067.0
2023,"University of California, Berkeley",Act Prof-Ay-Law,120750,163118,163118.0,120750.0
2023,"University of California, Berkeley",Act Prof-Ay-Law,235500,261467,261467.0,235500.0
2023,"University of California, Berkeley",Act Prof-Ay-Law,191333,245806,245806.0,191333.0
2023,"University of California, Berkeley",Act Prof-Ay-Law,244583,332783,332783.0,244583.0
2023,"University of California, Berkeley",Act Prof-Ay-Law,135975,347929,347929.0,135975.0
2023,"University of California, Berkeley",Act Prof-Ay-Law,192067,213245,213245.0,192067.0
2023,"University of California, Berkeley",Act Prof-Ay-Law,206167,228900,228900.0,206167.0
2023,"University of California, Berkeley",Adj Prof-Ay,175677,198027,198027.0,175677.0
2023,"University of California, Berkeley",Adj Prof-Ay,90351,90351,90351.0,90351.0
2023,"University of California, Berkeley",Adj Prof-Ay,35251,35251,35251.0,35251.0
2023,"University of California, Berkeley",Adj Prof-Ay,284068,288196,288196.0,284068.0
2023,"University of California, Berkeley",Adj Prof-Ay,47163,47163,47163.0,47163.0
2023,"University of California, Berkeley",Adj Prof-Ay,3353,3353,3353.0,3353.0
2023,"University of California, Berkeley",Adj Prof-Ay,108388,108788,108788.0,108388.0
2023,"University of California, Berkeley",Adj Prof-Ay,14731,14731,14731.0,14731.0
2023,"University of California, Berkeley",Adj Prof-Ay,90417,90417,90417.0,90417.0
2023,"University of California, Berkeley",Adj Prof-Ay,131083,131083,131083.0,131083.0
2023,"University of California, Berkeley",Adj Prof-Ay,124150,141144,141144.0,124150.0
2023,"University of California, Berkeley",Adj Prof-Ay,71550,94983,94983.0,71550.0
2023,"University of California, Berkeley",Adj Prof-Ay,248600,330833,330833.0,248600.0
2023,"University of California, Berkeley",Adj Prof-Ay,168583,168583,168583.0,168583.0
2023,"University of California, Berkeley",Adj Prof-Ay,44165,44165,44165.0,44165.0
2023,"University of California, Berkeley",Adj Prof-Ay,12984,12984,12984.0,12984.0
2023,"University of California, Berkeley",Adj Prof-Ay,15554,15554,15554.0,15554.0
2023,"University of California, Berkeley",Adj Prof-Ay,266433,266433,266433.0,266433.0
2023,"University of California, Berkeley",Adj Prof-Ay,30470,30470,30470.0,30470.0
2023,"University of California, Berkeley",Adj Prof-Ay,86063,86063,86063.0,86063.0
2023,"University of California, Berkeley",Adj Prof-Ay,7950,7950,7950.0,7950.0
2023,"University of California, Berkeley",Adj Prof-Ay,19578,19578,19578.0,19578.0
2023,"University of California, Berkeley",Adj Prof-Ay,65108,65108,65108.0,65108.0
2023,"University of California, Berkeley",Adj Prof-Ay,37336,37336,37336.0,37336.0
2023,"University of California, Berkeley",Adj Prof-Ay-1/10-Bee,64871,64871,64871.0,64871.0
2023,"University of California, Berkeley",Adj Prof-Ay-1/10-Bee,36590,36590,36590.0,36590.0
2023,"University of California, Berkeley",Adj Prof-Ay-B/E/E,280833,280833,280833.0,280833.0
2023,"University of California, Berkeley",Adj Prof-Ay-B/E/E,156700,208533,208533.0,156700.0
2023,"University of California, Berkeley",Adj Prof-Ay-B/E/E,167783,204783,204783.0,167783.0
2023,"University of California, Berkeley",Adj Prof-Ay-B/E/E,32467,32467,32467.0,32467.0
2023,"University of California, Berkeley",Adj Prof-Ay-B/E/E,49754,49754,49754.0,49754.0
2023,"University of California, Berkeley",Adj Prof-Ay-B/E/E,123306,123306,123306.0,123306.0
2023,"University of California, Berkeley",Adj Prof-Fy,19963,19963,19963.0,19963.0
2023,"University of California, Berkeley",Assoc Adj Prof-Ay,0,57500,57500.0,0.0
2023,"University of California, Berkeley",Assoc Adj Prof-Ay,138733,181622,181622.0,138733.0
2023,"University of California, Berkeley",Assoc Adj Prof-Ay,29341,43524,43524.0,29341.0
2023,"University of California, Berkeley",Assoc Adj Prof-Ay,111550,111550,111550.0,111550.0
2023,"University of California, Berkeley",Assoc Adj Prof-Ay,133383,177425,177425.0,133383.0
2023,"University of California, Berkeley",Assoc Adj Prof-Ay,167817,167817,167817.0,167817.0
