Year,EmployerName,Position,RegularPay,TotalWages
2024,"University of California, Berkeley",Act Assistant Prof Of Teach-Ay,56083,56083
2024,"University of California, Berkeley",Act Assistant Prof-Ay,42542,52542
2024,"University of California, Berkeley",Act Assoc Prof-Ay,115817,198317
2024,"University of California, Berkeley",Act Assoc Prof-Ay,61250,76250
2024,"University of California, Berkeley",Act Assoc Prof-Ay,57500,81298
2024,"University of California, Berkeley",Act Assoc Prof-Ay-B/E/E,145933,214234
2024,"University of California, Berkeley",Act Prof Of Teach-Ay-Law,231933,257122
2024,"University of California, Berkeley",Act Prof Of Teach-Ay-Law,200800,267267
2024,"University of California, Berkeley",Act Prof-Ay,180862,229709
2024,"University of California, Berkeley",Act Prof-Ay-Law,9522,9522
2024,"University of California, Berkeley",Act Prof-Ay-Law,211483,247097
2024,"University of California, Berkeley",Act Prof-Ay-Law,226583,276583
2024,"University of California, Berkeley",Act Prof-Ay-Law,214500,261833
2024,"University of California, Berkeley",Act Prof-Ay-Law,297242,362986
2024,"University of California, Berkeley",Act Prof-Ay-Law,246217,286253
2024,"University of California, Berkeley",Act Prof-Ay-Law,109783,156626
2024,"University of California, Berkeley",Act Prof-Ay-Law,200800,222956
2024,"University of California, Berkeley",Act Prof-Ay-Law,228014,251792
2024,"University of California, Berkeley",Act Prof-Ay-Law,273917,369361
2024,"University of California, Berkeley",Adj Prof-Ay,16425,14745
2024,"University of California, Berkeley",Adj Prof-Ay,207125,207125
2024,"University of California, Berkeley",Adj Prof-Ay,174040,195196
2024,"University of California, Berkeley",Adj Prof-Ay,26564,35225
2024,"University of California, Berkeley",Adj Prof-Ay,176250,176250
2024,"University of California, Berkeley",Adj Prof-Ay,129800,172480
2024,"University of California, Berkeley",Adj Prof-Ay,75992,107528
2024,"University of California, Berkeley",Adj Prof-Ay,259917,345950
2024,"University of California, Berkeley",Adj Prof-Ay,46195,46195
2024,"University of California, Berkeley",Adj Prof-Ay,13574,13574
2024,"University of California, Berkeley",Adj Prof-Ay,278533,278533
2024,"University of California, Berkeley",Adj Prof-Ay,36350,36350
2024,"University of California, Berkeley",Adj Prof-Ay,68125,68125
2024,"University of California, Berkeley",Adj Prof-Ay,100586,100586
2024,"University of California, Berkeley",Adj Prof-Ay,65435,65435
2024,"University of California, Berkeley",Adj Prof-Ay,126683,140661
2024,"University of California, Berkeley",Adj Prof-Ay,115950,115950
2024,"University of California, Berkeley",Adj Prof-Ay,94483,94483
2024,"University of California, Berkeley",Adj Prof-Ay,136933,136933
2024,"University of California, Berkeley",Adj Prof-Ay,63489,63489
2024,"University of California, Berkeley",Adj Prof-Ay,91687,89307
2024,"University of California, Berkeley",Adj Prof-Ay-1/10-Bee,34223,34223
2024,"University of California, Berkeley",Adj Prof-Ay-1/10-Bee,14211,14211
2024,"University of California, Berkeley",Adj Prof-Ay-B/E/E,98310,98310
2024,"University of California, Berkeley",Adj Prof-Ay-B/E/E,168767,206211
2024,"University of California, Berkeley",Adj Prof-Ay-B/E/E,175433,215394
2024,"University of California, Berkeley",Adj Prof-Ay-B/E/E,54329,54329
2024,"University of California, Berkeley",Adj Prof-Ay-B/E/E,37327,37327
2024,"University of California, Berkeley",Adj Prof-Ay-B/E/E,305842,305842
2024,"University of California, Berkeley",Adj Prof-Fy,21343,21343
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,25575,25575
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,97383,97383
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,161315,221286
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,172050,228992
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,126483,168350
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,63525,63525
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,8275,8275
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,104692,160460
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,128317,170784
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,89617,104637
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,14175,14175
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,43490,43490
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,57257,67407
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,119483,169125
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,57838,57838
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,8027,8027
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,56691,56691
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,17157,17157
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,6558,6558
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,24238,24238
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,96875,128935
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,39486,39486
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,128433,142389
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,115800,139416
2024,"University of California, Berkeley",Assistant Adj Prof-Ay,103217,103217
2024,"University of California, Berkeley",Assistant Adj Prof-Fy,137150,167150
2024,"University of California, Berkeley",Assistant Adj Prof-Fy,131717,131717
2024,"University of California, Berkeley",Assistant Adj Prof-Fy,128200,128200
2024,"University of California, Berkeley",Assistant Adj Prof-Fy,133833,133833
2024,"University of California, Berkeley",Assistant Prof In Res-Ay,112083,127705
2024,"University of California, Berkeley",Assistant Prof In Res-Ay,121700,161925
2024,"University of California, Berkeley",Assistant Prof In Res-Ay,185833,185833
2024,"University of California, Berkeley",Assistant Prof Of Clin-Hcomp,144008,146358
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,153758,273246
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,111483,117956
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,120433,164424
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,114100,139493
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,108800,108800
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,108800,113765
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,127900,164293
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,144617,194087
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,132783,147428
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,138583,194450
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,58583,74139
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,53425,124225
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,80267,80267
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,132667,166580
2024,"University of California, Berkeley",Assistant Prof-Ay,171183,258961
2024,"University of California, Berkeley",Assistant Prof-Ay,120392,146595
2024,"University of California, Berkeley",Assistant Prof-Ay,135367,174664
2024,"University of California, Berkeley",Assistant Prof-Ay,58875,100680
2024,"University of California, Berkeley",Assistant Prof-Ay,164717,176312
2024,"University of California, Berkeley",Assistant Prof-Ay,45500,61272
2024,"University of California, Berkeley",Assistant Prof-Ay,133667,177859
2024,"University of California, Berkeley",Assistant Prof-Ay,138900,169633
2024,"University of California, Berkeley",Assistant Prof-Ay,52458,79699
2024,"University of California, Berkeley",Assistant Prof-Ay,50042,96028
2024,"University of California, Berkeley",Assistant Prof-Ay,57083,86725
2024,"University of California, Berkeley",Assistant Prof-Ay,58333,110350
2024,"University of California, Berkeley",Assistant Prof-Ay,111483,111483
2024,"University of California, Berkeley",Assistant Prof-Ay,113708,113708
2024,"University of California, Berkeley",Assistant Prof-Ay,106133,106133
2024,"University of California, Berkeley",Assistant Prof-Ay,58542,58542
2024,"University of California, Berkeley",Assistant Prof-Ay,77083,77083
2024,"University of California, Berkeley",Assistant Prof-Ay,134283,178751
2024,"University of California, Berkeley",Assistant Prof-Ay,108067,147067
2024,"University of California, Berkeley",Assistant Prof-Ay,141517,169990
2024,"University of California, Berkeley",Assistant Prof-Ay,137567,145491
2024,"University of California, Berkeley",Assistant Prof-Ay,72917,172361
2024,"University of California, Berkeley",Assistant Prof-Ay,132900,158013
2024,"University of California, Berkeley",Assistant Prof-Ay,127992,148686
2024,"University of California, Berkeley",Assistant Prof-Ay,118592,157754
2024,"University of California, Berkeley",Assistant Prof-Ay,131075,174274
2024,"University of California, Berkeley",Assistant Prof-Ay,134833,179236
2024,"University of California, Berkeley",Assistant Prof-Ay,134233,178665
2024,"University of California, Berkeley",Assistant Prof-Ay,121183,153330
2024,"University of California, Berkeley",Assistant Prof-Ay,151208,153542
2024,"University of California, Berkeley",Assistant Prof-Ay,132967,177513
2024,"University of California, Berkeley",Assistant Prof-Ay,113492,114746
