,coef,std_err,t,pvalue
Intercept,11.664062850597587,0.026065223601886813,447.49521541619333,0.0
C(Year)[T.2011],0.00041083247638489494,0.007375207139226193,0.05570453393774097,0.9555771875530941
C(Year)[T.2012],0.03047610914599613,0.007451586168143219,4.089882134932105,4.315924538527878e-05
C(Year)[T.2013],0.11636153906088864,0.006991712919589242,16.64277987370866,3.413945459395835e-62
C(Year)[T.2014],0.13784035931856528,0.0070101749592060125,19.662898589649092,4.483628678926746e-86
C(Year)[T.2015],0.1681870155082081,0.007026304118473869,23.93676855887911,1.26913096747468e-126
C(Year)[T.2016],0.20457656234450983,0.006853709370582007,29.849027918021783,9.037490423477068e-196
"C(EmployerName)[T.University of California, Davis]",0.018268446597776107,0.007492585989500689,2.438203128182387,0.014760477154364834
"C(EmployerName)[T.University of California, Irvine]",-0.03543615056759977,0.008211637348037827,-4.315357469611984,1.5934483720563998e-05
"C(EmployerName)[T.University of California, Los Angeles]",0.07717238568298332,0.007317337265475653,10.546512055292949,5.271794297493654e-26
"C(EmployerName)[T.University of California, Merced]",-0.03943449986063578,0.011673807761868821,-3.378032315166619,0.0007300650079211427
"C(EmployerName)[T.University of California, Office of the President]",-1.0085786426043049,0.007301095233814817,-138.14073235657867,0.0
"C(EmployerName)[T.University of California, Riverside]",-0.12375760097853705,0.00912363933857315,-13.564499470656582,6.502200053196762e-42
"C(EmployerName)[T.University of California, San Diego]",-0.0024945121072535168,0.007946000170486592,-0.313933054836665,0.753571884436205
"C(EmployerName)[T.University of California, San Francisco]",-0.008446496295838813,0.00827558893060154,-1.0206519882355791,0.3074193490767301
"C(EmployerName)[T.University of California, Santa Barbara]",-0.10198075284633498,0.008579781417542693,-11.886171439964604,1.3966314168766155e-32
"C(EmployerName)[T.University of California, Santa Cruz]",-0.12137109970929782,0.008890865419674168,-13.651213237433733,1.9854523919319883e-42
C(Rank)[T.Adjunct],-0.7538250516546416,0.034001275878061836,-22.17049308261463,6.618147789914204e-109
C(Rank)[T.Assistant],-0.6463004449889869,0.025898467626183922,-24.955161607150952,1.876936506714452e-137
C(Rank)[T.Associate],-0.3545779248310729,0.02576695949128742,-13.760953245219573,4.377170708898218e-43
C(Rank)[T.Clinical],-0.0024216477794271607,0.026680349533142016,-0.09076521941434906,0.9276791468259373
C(Rank)[T.Full],0.06779398645165322,0.025580537062709432,2.6502174792288207,0.008043997247216298
