Year,EmployerName,Position,RegularPay,TotalWages,RealTotalWages,RealRegularPay
2011,"University of California, Santa Cruz",ASSISTANT PROFESSOR-ACAD YR,34999.98,38888.87,35056.91879173745,31551.224208171516
2011,"University of California, Berkeley",PROFESSOR RECALLED-ACAD YR-1/9,0.0,6060.8,5463.59339865011,0.0
2011,"University of California, Davis",HS ASSISTANT CLIN PROF-HCOMP,82301.16,145000.05,130712.33434265046,74191.53815952457
2011,"University of California, Davis",HS ASSISTANT CLIN PROF-HCOMP,101150.0,138700.0,125033.06566670578,91183.09006623857
2011,"University of California, Davis",ASST PROF OF CLIN_____-HCOMP,61473.18,103676.16,93460.33252596896,55415.86266532966
2011,"University of California, Davis",HS ASSISTANT CLIN PROF-HCOMP,68840.12,121632.13,109646.99421392425,62056.89433643767
2011,"University of California, Davis",HS ASSISTANT CLIN PROF-HCOMP,95300.55,188425.0,169858.36624548692,85910.02109749947
2011,"University of California, Davis",HS ASSISTANT CLIN PROF-HCOMP,105800.0,143350.0,129224.87356396735,95374.89796350015
2011,"University of California, Irvine",HS ASSISTANT CLIN PROF-HCOMP,51400.85,64134.22,57814.694598002556,46336.01913031358
2011,"University of California, Irvine",HS ASSISTANT CLIN PROF-HCOMP,57600.73,76034.48000000001,68542.35133939314,51924.98815097469
2011,"University of California, Irvine",HS ASSISTANT CLIN PROF-HCOMP,81121.5,134440.5,121193.27948640777,73128.11706187218
2011,"University of California, Irvine",HS ASSISTANT CLIN PROF-HCOMP,89906.98,93721.98,84486.99697010587,81047.91156622351
2011,"University of California, Irvine",ASSISTANT PROF IN RES-HCOMP,68665.99,118619.32,106931.05426748368,61899.92239898603
2011,"University of California, Irvine",HS ASSISTANT CLIN PROF-HCOMP,42557.01,48497.01,43718.311722919156,38363.615183191454
2011,"University of California, Los Angeles",VISITING ASSISTANT PROF-HCOMP,74733.0,138241.47,124619.71734947323,67369.11388947313
2011,"University of California, Los Angeles",HS ASSISTANT CLIN PROF-HCOMP,84245.75,117310.53,105751.22711525636,75944.51616359681
2011,"University of California, Los Angeles",HS ASSISTANT CLIN PROF-HCOMP,52444.8,95795.0,86355.75000390828,47277.102539850406
2011,"University of California, Los Angeles",HS ASSISTANT CLIN PROF-HCOMP,74159.52,101167.52,91198.88371663858,66852.14227809214
2011,"University of California, Los Angeles",HS ASSISTANT CLIN PROF-HCOMP,62968.71,105874.93,95442.44466581021,56764.02921685474
2011,"University of California, Los Angeles",HS ASSISTANT CLIN PROF-HCOMP,76435.86,115785.86,104376.79190090844,68904.18098537224
2011,"University of California, Los Angeles",ASST PROF IN RESIDENCE-ACAD YR,71625.54,110283.32,99416.44983058635,64567.850369381835
